potential_file,t_min,model,A,beta,C,M,r2,beta_spread,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess,dataset,group
0.4,0.9,linear,7.739818695404018e-09,0.8006954465698198,1.5718575618651808e-08,6.107658021884943e-10,0.0039462767001182675,0.5005106715700269,42,3.0,2.2848964813756437e-08,2.5695522834169707e-08,1.1245814873284532,,,-0.1315372775138339,0.06514886269485931,ca115,80
0.4,1.0,simple,6.678535058868383e-09,0.800759584483152,1.7692144404343863e-08,,0.003996856666852344,0.5004906601773667,40,3.0,2.2848964813756437e-08,2.53266095263116e-08,1.1084357533372136,,,-0.5,0.22390551818563015,ca115,80
0.4,1.0,linear,9.556539292478372e-09,0.8004645026909485,1.4255938725250207e-08,8.318583975996178e-10,0.004047371741890515,0.5003355178402034,40,3.0,2.2848964813756437e-08,2.5507616430662814e-08,1.116357639769558,,,-0.5,0.2604665649593467,ca115,80
0.4,2.0,simple,3.378237548902959e-08,0.8000638867661204,5.072902462150368e-09,,0.009087904594688556,0.5000412696727545,20,3.0,2.2848964813756437e-08,2.260844452496733e-08,0.9894734710850314,,,,0.0,ca115,80
0.4,2.0,linear,9.24825605474521e-08,0.8000219875866549,-4.706136056090412e-08,9.462295112331296e-09,0.009334487783111522,0.5000158490250963,20,3.0,2.2848964813756437e-08,2.3283793287221986e-08,1.0190305546448106,,,,0.0,ca115,80
0.4,3.0,simple,,,,,,,0,3.0,2.2848964813756437e-08,,,,,,,ca115,80
0.4,3.0,linear,,,,,,,0,3.0,2.2848964813756437e-08,,,,,,,ca115,80
0.4,4.0,simple,,,,,,,0,3.0,2.2848964813756437e-08,,,,,,,ca115,80
0.4,4.0,linear,,,,,,,0,3.0,2.2848964813756437e-08,,,,,,,ca115,80
0.4,5.0,simple,,,,,,,0,3.0,2.2848964813756437e-08,,,,,,,ca115,80
0.4,5.0,linear,,,,,,,0,3.0,2.2848964813756437e-08,,,,,,,ca115,80
0.4,0.1,simple,4.7540724069811597e-07,0.8195465355914576,4.925438202559043e-08,,0.9964634558460667,0.0002003947689992458,58,3.0,2.1076327090219595e-08,8.653910393026461e-09,0.41059859984058994,,,-0.39445893120377357,0.8090334426710087,ca115,81
0.4,0.1,linear,4.283427611755765e-07,0.8568667907572683,1.2036062698617232e-07,-1.8541833415923542e-08,0.9965669725000521,0.0026516743177324997,58,3.0,2.1076327090219595e-08,1.4347694575907391e-08,0.6807492839948093,,,-0.07657077335018099,0.013720777790782327,ca115,81
0.4,0.2,simple,5.517855644052428e-07,0.7167535928784867,-1.7552094562722154e-08,,0.9986285469102794,0.012496861523124236,56,3.0,2.1076327090219595e-08,1.716058042878949e-08,0.814211145771827,,,-0.053386406324802155,0.027323401201908848,ca115,81
0.4,0.2,linear,5.569698121633233e-07,0.7129244791193757,-2.417573112865538e-08,1.2609739430007762e-09,0.9986280636459924,0.1778862622240237,56,3.0,2.1076327090219595e-08,1.7164178709997874e-08,0.8143818719706081,,,-0.02352879550671352,0.07193325853210054,ca115,81
0.4,0.3,simple,5.579066180041054e-07,0.7067926514022498,-2.3338067150836343e-08,,0.9977746618892394,0.030840581853007643,54,3.0,2.1076327090219595e-08,1.7188918032519408e-08,0.815555668639052,,,-0.2738186394756018,0.029954851480595943,ca115,81
0.4,0.3,linear,7.155847974622083e-07,0.5974839401869303,-2.0338882823120935e-07,2.3387858571733182e-08,0.997703434482074,0.2597411276834829,54,3.0,2.1076327090219595e-08,1.6632826870854907e-08,0.7891710353353417,,,-0.6658367027632535,0.03317370692093838,ca115,81
0.4,0.4,simple,5.621490158583773e-07,0.700564952405973,-2.747297221229937e-08,,0.9967530783709532,0.2045847584493493,52,3.0,2.1076327090219595e-08,1.663244285130435e-08,0.7891528149144442,,,-0.6331014243716304,0.05824475376962411,ca115,81
0.4,0.4,linear,5.15733158742302e-07,0.7455323060601947,2.4842939394680617e-08,-6.655579605813429e-09,0.9967194628216058,0.3146078007143371,52,3.0,2.1076327090219595e-08,1.6912790109108772e-08,0.8024543383062744,,,-0.6040484605269624,0.15838691607454577,ca115,81
