file,potential,t_min,model,A,beta,C,M,r2,n_points
Ca10,0.4,5.0,linear,1.641431109946398e-06,0.6655953684134084,2.0260154934385563e-07,5.231406329218772e-10,0.9989031253381381,2301
Ca11,0.4,0.1,simple,1.406196055287137e-06,0.6578819371068603,2.510759359808106e-07,,0.997813468459026,2399
Ca11,0.4,0.1,linear,1.4844101847917503e-06,0.6297599054227526,2.0278700632195537e-07,4.4152619508780034e-10,0.9989564922956833,2399
Ca11,0.4,0.2,simple,1.4032434990285765e-06,0.6476920009843026,2.4700043842412213e-07,,0.9971752986586513,2397
Ca11,0.4,0.2,linear,1.513901643370353e-06,0.5927019232946603,1.6783866594911032e-07,6.315608975567749e-10,0.9999148964340984,2397
Ca11,0.4,0.3,simple,1.4102668980251851e-06,0.6591698701225819,2.51234353778652e-07,,0.9969363971703982,2395
Ca11,0.4,0.3,linear,1.5137459686365646e-06,0.5929928071703429,1.6811032044202646e-07,6.301945533231693e-10,0.9998956901396947,2395
Ca11,0.4,0.4,simple,1.418382668972632e-06,0.6684064055563477,2.5431579186096595e-07,,0.9967231552204825,2393
Ca11,0.4,0.4,linear,1.5138937598819908e-06,0.5923715211123722,1.6757187848778115e-07,6.327810195395573e-10,0.9998791379416393,2393
Ca11,0.4,0.5,simple,1.4276358264463432e-06,0.6769873046364313,2.5696078850762017e-07,,0.9965686545063239,2391
Ca11,0.4,0.5,linear,1.5138816623904144e-06,0.5923833935495961,1.6758410048813732e-07,6.327163384854109e-10,0.9998633051019943,2391
Ca11,0.4,0.6,simple,1.4371379978685385e-06,0.6846277637831507,2.591625978004377e-07,,0.9964218551007865,2389
Ca11,0.4,0.6,linear,1.5138223164730466e-06,0.5919976924849527,1.6728217614728154e-07,6.340693066835725e-10,0.9998484025055134,2389
Ca11,0.4,0.7,simple,1.4473273152209197e-06,0.6919823535809544,2.611610762238915e-07,,0.9963054776458217,2387
Ca11,0.4,0.7,linear,1.5138278263428027e-06,0.5920416575375155,1.673168632354034e-07,6.33913188964572e-10,0.9998338167875654,2387
Ca11,0.4,0.8,simple,1.4578018295117443e-06,0.6989195668102096,2.629496080511755e-07,,0.9962004764544073,2385
Ca11,0.4,0.8,linear,1.5138303248443298e-06,0.59207677053757,1.6734493483884483e-07,6.337858356793411e-10,0.9998197509284904,2385
Ca11,0.4,0.9,simple,1.4683540689450243e-06,0.7054212407223773,2.645475317136332e-07,,0.996097373019694,2383
Ca11,0.4,0.9,linear,1.513752876475717e-06,0.5919123140858733,1.6722689801636017e-07,6.342824019876688e-10,0.9998058481914945,2383
Ca11,0.4,1.0,simple,1.4792834592673823e-06,0.7117521397170691,2.6603667646483816e-07,,0.9960075414168016,2381
Ca11,0.4,1.0,linear,1.5137541332272043e-06,0.5919317913517155,1.6724246380609592e-07,6.342120213797936e-10,0.9997922892609786,2381
Ca11,0.4,2.0,simple,1.5965513200292367e-06,0.7658180607309704,2.7665193818170447e-07,,0.9952506620266671,2361
Ca11,0.4,2.0,linear,1.5121764377078988e-06,0.5902019714240893,1.6614677825605785e-07,6.383719457059995e-10,0.9996593691087002,2361
Ca11,0.4,3.0,simple,1.742789196344571e-06,0.8162237327650531,2.840869163957208e-07,,0.9949478987480753,2341
Ca11,0.4,3.0,linear,1.5230760843691634e-06,0.5993339128327629,1.714263337434381e-07,6.194943180179612e-10,0.9995309054408762,2341
Ca11,0.4,4.0,simple,1.9136418183500377e-06,0.8642122733883668,2.897787177695455e-07,,0.9947732803295443,2321
Ca11,0.4,4.0,linear,1.5414483278898628e-06,0.611754007751081,1.778756998139862e-07,5.973790446707595e-10,0.9994016656199765,2321
Ca11,0.4,5.0,simple,2.109449949566242e-06,0.9102398825360297,2.942882365682069e-07,,0.9946539991983975,2301
Ca11,0.4,5.0,linear,1.5659794292027572e-06,0.6259342428939966,1.845414591800154e-07,5.750800446082745e-10,0.9992716879629912,2301
Ca12,0.4,0.1,simple,1.3570185637095476e-06,0.6546967328596918,2.4599237972637395e-07,,0.9979268153736859,2399
Ca12,0.4,0.1,linear,1.428491730253727e-06,0.6280237314429201,2.0175452632834954e-07,4.0260683060356294e-10,0.9989490560799843,2399
Ca12,0.4,0.2,simple,1.3539441113078447e-06,0.6443566358353638,2.4197115542177804e-07,,0.9974246287129874,2397
Ca12,0.4,0.2,linear,1.456063436161048e-06,0.591674618410048,1.6871879523737885e-07,5.815535280161862e-10,0.9999131693610689,2397
Ca12,0.4,0.3,simple,1.3601275798338386e-06,0.6548753770736807,2.4577081563881155e-07,,0.9971801615665119,2395
Ca12,0.4,0.3,linear,1.4562784603085374e-06,0.5911232165393282,1.6823744100700391e-07,5.839206941998953e-10,0.9998939018849047,2395
Ca12,0.4,0.4,simple,1.3672005330191122e-06,0.663215865752202,2.4850184444523154e-07,,0.996956206461581,2393
Ca12,0.4,0.4,linear,1.4566575215519408e-06,0.5895494109749415,1.6691259568476536e-07,5.902610225319004e-10,0.9998815316637699,2393
Ca12,0.4,0.5,simple,1.3754927153607568e-06,0.6712087683737507,2.5092768254197503e-07,,0.9967988317148697,2391
Ca12,0.4,0.5,linear,1.4566817784421505e-06,0.5890245049805886,1.6649200824153942e-07,5.922008969648094e-10,0.9998664720840388,2391
Ca12,0.4,0.6,simple,1.3841819536807041e-06,0.6784786054320973,2.529943116979743e-07,,0.9966590373047652,2389
Ca12,0.4,0.6,linear,1.45662378811943e-06,0.5884148990134052,1.660215411655768e-07,5.943116047992219e-10,0.9998523469936889,2389
Ca12,0.4,0.7,simple,1.393088129109286e-06,0.6851745783313058,2.547926324732867e-07,,0.9965287788188469,2387
Ca12,0.4,0.7,linear,1.4564653809854584e-06,0.5876579661851523,1.6545471995183375e-07,5.967938581608987e-10,0.9998391065489525,2387
Ca12,0.4,0.8,simple,1.402321469455587e-06,0.6915492354094971,2.564202558061073e-07,,0.9964125027883922,2385
Ca12,0.4,0.8,linear,1.4562655655374653e-06,0.5870075401385325,1.649801326455839e-07,5.98827176751594e-10,0.9998260294381288,2385
Ca12,0.4,0.9,simple,1.4117608437272397e-06,0.6976177387776037,2.5789993119525694e-07,,0.9963043325960581,2383
