E,current_mean,current_sd,day,n_replicates,polished
0.148615,-1.0928515999999999e-07,1.2031134039094833e-09,Y,10,False
0.143661,-1.1864199999999998e-07,2.4225779051800737e-09,Y,10,False
0.138707,-1.2867523999999998e-07,1.590631127152571e-09,Y,10,False
0.133754,-1.3844505000000002e-07,2.818657427156883e-09,Y,10,False
0.1288001,-1.483841e-07,2.4425385451297265e-09,Y,10,False
0.1238463,-1.5855829999999999e-07,3.615667666943105e-09,Y,10,False
0.1188924,-1.6880760000000002e-07,3.63059974231378e-09,Y,10,False
0.1139386,-1.7959260000000002e-07,4.622368757826807e-09,Y,10,False
0.1089847,-1.9002960000000002e-07,4.896657753565748e-09,Y,10,False
0.1040309,-2.0146260000000001e-07,5.8429147444671096e-09,Y,10,False
0.09907701,-2.12238e-07,6.501918537375464e-09,Y,10,False
0.09412316,-2.245164e-07,7.2950049455470254e-09,Y,10,False
0.08916931,-2.3505710000000003e-07,8.15942166319267e-09,Y,10,False
0.08421546,-2.481435e-07,8.873781609638337e-09,Y,10,False
0.07926161,-2.599148e-07,1.0020670467699358e-08,Y,10,False
0.07430775,-2.735834e-07,1.0627296564351004e-08,Y,10,False
0.06935391,-2.8581509999999996e-07,1.1991468443578272e-08,Y,10,False
0.06440006,-3.000383e-07,1.2651919169745666e-08,Y,10,False
0.05944621,-3.1317150000000003e-07,1.4244527247332576e-08,Y,10,False
0.05449236,-3.2780799999999997e-07,1.4827225514048283e-08,Y,10,False
0.0495385,-3.415897e-07,1.6522657696159066e-08,Y,10,False
0.04458466,-3.569587999999999e-07,1.7336980281724057e-08,Y,10,False
0.0396308,-3.713417e-07,1.897815938885774e-08,Y,10,False
0.03467696,-3.869458e-07,1.9971135236190823e-08,Y,10,False
0.0297231,-4.0201450000000006e-07,2.1754737150790854e-08,Y,10,False
0.02476925,-4.18032e-07,2.2872076551502225e-08,Y,10,False
0.0198154,-4.337017000000001e-07,2.4625644659582006e-08,Y,10,False
0.01486155,-4.500952e-07,2.6141240588600842e-08,Y,10,False
0.009907701,-4.662911e-07,2.7783584727716854e-08,Y,10,False
0.00495385,-4.829379000000001e-07,2.9554203019198465e-08,Y,10,False
0.0,-4.820126499999999e-07,1.6506748043643114e-08,T,20,True
-0.00495385,-4.919612000000001e-07,2.591041360575035e-08,T,20,True
-0.009907701,-5.042631000000001e-07,1.9096322406766124e-08,T,20,True
-0.01486155,-5.1655585e-07,2.6282316587143577e-08,T,20,True
-0.0198154,-5.268051e-07,2.2142862970171445e-08,T,20,True
-0.02476925,-5.416247500000001e-07,2.666679220713321e-08,T,20,True
-0.0297231,-5.505776999999999e-07,2.5352161681112384e-08,T,20,True
-0.03467696,-5.6776465e-07,2.721120775337559e-08,T,20,True
-0.0396308,-5.7565595e-07,2.913845752063034e-08,T,20,True
-0.04458466,-5.955250999999998e-07,2.809609933012804e-08,T,20,True
-0.0495385,-6.036278999999999e-07,3.312541568025184e-08,T,20,True
-0.05449236,-6.251363999999999e-07,2.9625378934107736e-08,T,20,True
-0.05944621,-6.351695499999999e-07,3.785106150423484e-08,T,20,True
-0.06440006,-6.577021e-07,3.197830751405018e-08,T,20,True
-0.06935391,-6.710562499999999e-07,4.2900777993037545e-08,T,20,True
-0.07430775,-6.946691000000001e-07,3.585381929871994e-08,T,20,True
